"s","x","y","d","ID","sex","genus","species"
0,NA,NA,"p1.0302.0630","99.9%_s10g15","male","spodoptera","frugiperda"
537,730,47,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
225,916,54,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
365,939,55,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
592,1087,62,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
446,1141,82,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
225,1026,115,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
302,676,118,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
240,1088,150,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
574,1081,178,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
269,783,171,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
527,488,181,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
256,662,178,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
363,1105,182,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
491,1306,183,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
225,458,182,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
397,994,187,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
255,1215,192,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
240,1290,214,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
333,1078,216,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
286,1040,220,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
315,1058,223,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
392,1406,243,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
407,1217,253,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
434,1446,270,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
372,1216,281,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
225,310,281,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
391,1368,296,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
255,1435,305,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
350,1000,316,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
492,1295,323,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
334,450,324,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
300,574,379,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
750,1392,415,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
334,1098,407,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
374,1509,438,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
468,1158,478,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
698,1500,546,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
255,1341,580,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
491,1233,595,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
225,1293,854,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
352,1053,1181,"p1.0302.0632","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0634","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0636","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0638","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0640","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0642","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0644","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0646","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0648","99.9%_s10g15","male","spodoptera","frugiperda"
611,761,40,"p1.0302.0650","99.9%_s10g15","male","spodoptera","frugiperda"
254,676,44,"p1.0302.0650","99.9%_s10g15","male","spodoptera","frugiperda"
351,770,98,"p1.0302.0650","99.9%_s10g15","male","spodoptera","frugiperda"
225,921,123,"p1.0302.0650","99.9%_s10g15","male","spodoptera","frugiperda"
225,921,176,"p1.0302.0650","99.9%_s10g15","male","spodoptera","frugiperda"
225,725,192,"p1.0302.0650","99.9%_s10g15","male","spodoptera","frugiperda"
411,670,202,"p1.0302.0650","99.9%_s10g15","male","spodoptera","frugiperda"
285,560,269,"p1.0302.0650","99.9%_s10g15","male","spodoptera","frugiperda"
225,1018,278,"p1.0302.0650","99.9%_s10g15","male","spodoptera","frugiperda"
355,852,392,"p1.0302.0650","99.9%_s10g15","male","spodoptera","frugiperda"
376,1495,421,"p1.0302.0650","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0652","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0654","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0656","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0658","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0700","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0702","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0704","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0706","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0708","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0710","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0712","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0714","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0716","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0718","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0720","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0722","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0724","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0726","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0728","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0730","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0732","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0734","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0736","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0738","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0740","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0742","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0744","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0746","99.9%_s10g15","male","spodoptera","frugiperda"
240,831,112,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
240,1250,121,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
445,1203,132,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
240,766,130,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
455,1167,137,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
589,978,140,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
240,782,150,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
240,478,182,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
382,689,192,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
346,687,238,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
225,1210,242,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
269,1442,344,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
400,1427,398,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
272,1473,398,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
349,1413,432,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
381,894,576,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
270,1164,579,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
240,598,592,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
316,870,600,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
270,1186,696,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
270,857,1101,"p1.0302.0748","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0750","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0752","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0754","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0756","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0758","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0800","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0802","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0804","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0806","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0808","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0810","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0812","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0814","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0816","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0818","99.9%_s10g15","male","spodoptera","frugiperda"
373,704,54,"p1.0302.0820","99.9%_s10g15","male","spodoptera","frugiperda"
406,904,78,"p1.0302.0820","99.9%_s10g15","male","spodoptera","frugiperda"
240,1111,132,"p1.0302.0820","99.9%_s10g15","male","spodoptera","frugiperda"
225,1269,146,"p1.0302.0820","99.9%_s10g15","male","spodoptera","frugiperda"
225,1161,220,"p1.0302.0820","99.9%_s10g15","male","spodoptera","frugiperda"
347,1213,244,"p1.0302.0820","99.9%_s10g15","male","spodoptera","frugiperda"
225,467,249,"p1.0302.0820","99.9%_s10g15","male","spodoptera","frugiperda"
240,1076,312,"p1.0302.0820","99.9%_s10g15","male","spodoptera","frugiperda"
255,1509,386,"p1.0302.0820","99.9%_s10g15","male","spodoptera","frugiperda"
225,96,665,"p1.0302.0820","99.9%_s10g15","male","spodoptera","frugiperda"
302,824,703,"p1.0302.0820","99.9%_s10g15","male","spodoptera","frugiperda"
225,1021,860,"p1.0302.0820","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0822","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0824","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0826","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0828","99.9%_s10g15","male","spodoptera","frugiperda"
389,923,43,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
286,652,48,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
225,965,121,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
377,1301,172,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
240,962,220,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
270,1377,227,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
287,742,235,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
299,1436,262,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
315,1173,337,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
303,1142,349,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
285,848,417,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
344,1533,423,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
382,683,448,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
315,535,470,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
653,1008,476,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
240,1467,478,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
390,1499,488,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
225,982,485,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
302,1544,525,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
270,761,538,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
240,639,578,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
255,1413,635,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
254,522,658,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
461,1229,687,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
270,1477,714,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
255,1426,818,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
406,1479,829,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
301,1411,959,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
350,1382,990,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
303,1135,999,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
302,836,1013,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
287,1181,1253,"p1.0302.0830","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0832","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0834","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0836","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0838","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0840","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0842","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0844","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0846","99.9%_s10g15","male","spodoptera","frugiperda"
337,988,45,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
634,766,76,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
286,666,85,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
317,1004,95,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
225,695,112,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
240,1142,181,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
302,747,185,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
301,437,186,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
405,1115,189,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
225,1422,237,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
384,1214,250,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
419,1339,261,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
640,1060,272,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
225,346,269,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
466,1444,288,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
326,650,315,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
353,548,346,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
225,1318,357,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
225,818,378,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
286,1244,380,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
563,571,388,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
332,445,398,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
361,501,424,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
285,1111,433,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
225,1197,452,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
240,321,460,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
361,951,470,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
452,1496,475,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
408,1057,484,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
270,1534,502,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
796,1493,529,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
225,1312,535,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
254,1188,562,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
285,1396,746,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
255,1289,793,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
225,1335,821,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
256,1644,1518,"p1.0302.0848","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0850","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0852","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0854","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0856","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0858","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0900","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0902","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0904","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0906","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0908","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0910","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0912","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0914","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0916","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0918","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0920","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0922","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0924","99.9%_s10g15","male","spodoptera","frugiperda"
80,1796,4,"p1.0302.0926","99.9%_s10g15","male","spodoptera","frugiperda"
255,628,116,"p1.0302.0926","99.9%_s10g15","male","spodoptera","frugiperda"
255,863,158,"p1.0302.0926","99.9%_s10g15","male","spodoptera","frugiperda"
240,923,162,"p1.0302.0926","99.9%_s10g15","male","spodoptera","frugiperda"
225,1198,165,"p1.0302.0926","99.9%_s10g15","male","spodoptera","frugiperda"
321,647,236,"p1.0302.0926","99.9%_s10g15","male","spodoptera","frugiperda"
225,1477,306,"p1.0302.0926","99.9%_s10g15","male","spodoptera","frugiperda"
225,637,309,"p1.0302.0926","99.9%_s10g15","male","spodoptera","frugiperda"
285,1055,330,"p1.0302.0926","99.9%_s10g15","male","spodoptera","frugiperda"
268,591,382,"p1.0302.0926","99.9%_s10g15","male","spodoptera","frugiperda"
225,530,513,"p1.0302.0926","99.9%_s10g15","male","spodoptera","frugiperda"
225,1132,576,"p1.0302.0926","99.9%_s10g15","male","spodoptera","frugiperda"
333,718,611,"p1.0302.0926","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0928","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0930","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0932","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0934","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0936","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0938","99.9%_s10g15","male","spodoptera","frugiperda"
0,NA,NA,"p1.0302.0940","99.9%_s10g15","male","spodoptera","frugiperda"
